5962	Märkischer Kreis
5966	Olpe
5970	Siegen-Wittgenstein
5974	Soest
5978	Unna
6411	Darmstadt, Stadt
6412	Frankfurt am Main, Stadt
6413	Offenbach am Main, Stadt
6414	Wiesbaden, Stadt
6431	Bergstraße
6432	Darmstadt-Dieburg
6433	Groß-Gerau
6434	Hochtaunuskreis
6435	Main-Kinzig-Kreis
6436	Main-Taunus-Kreis
6437	Odenwaldkreis
6438	Offenbach
6439	Rheingau-Taunus-Kreis
6440	Wetteraukreis
6531	Gießen
6532	Lahn-Dill-Kreis
6533	Limburg-Weilburg
6534	Marburg-Biedenkopf
6535	Vogelsbergkreis
6611	Kassel, Stadt
6631	Fulda
6632	Hersfeld-Rotenburg
6633	Kassel
6634	Schwalm-Eder-Kreis
6635	Waldeck-Frankenberg
6636	Werra-Meißner-Kreis
7111	Koblenz, Stadt
7131	Ahrweiler
7132	Altenkirchen (Westerwald)
7133	Bad Kreuznach
7134	Birkenfeld
7135	Cochem-Zell
7137	Mayen-Koblenz
7138	Neuwied
7140	Rhein-Hunsrück-Kreis
7141	Rhein-Lahn-Kreis
7143	Westerwaldkreis
7211	Trier, Stadt
7231	Bernkastel-Wittlich
7232	Eifelkreis Bitburg-Prüm
7233	Vulkaneifel
7235	Trier-Saarburg
7311	Frankenthal (Pfalz), Stadt
7312	Kaiserslautern, Stadt
7313	Landau in der Pfalz, Stadt
7314	Ludwigshafen am Rhein, Stadt
7315	Mainz, Stadt
7316	Neustadt an der Weinstraße, Stadt
7317	Pirmasens, Stadt
7318	Speyer, Stadt
7319	Worms, Stadt
7320	Zweibrücken, Stadt
7331	Alzey-Worms
7332	Bad Dürkheim
7333	Donnersbergkreis
7334	Germersheim
7335	Kaiserslautern
7336	Kusel
7337	Südliche Weinstraße
7338	Rhein-Pfalz-Kreis
7339	Mainz-Bingen
7340	Südwestpfalz
8111	Stuttgart, Stadt
8115	Böblingen
8116	Esslingen
8117	Göppingen
8118	Ludwigsburg
8119	Rems-Murr-Kreis
8121	Heilbronn, Stadt
8125	Heilbronn
8126	Hohenlohekreis
8127	Schwäbisch Hall
8128	Main-Tauber-Kreis
8135	Heidenheim
8136	Ostalbkreis
8211	Baden-Baden, Stadt
8212	Karlsruhe, Stadt
8215	Karlsruhe
8216	Rastatt
8221	Heidelberg, Stadt
8222	Mannheim, Stadt
8225	Neckar-Odenwald-Kreis
8226	Rhein-Neckar-Kreis
8231	Pforzheim, Stadt
8235	Calw
8236	Enzkreis
8237	Freudenstadt
8311	Freiburg im Breisgau, Stadt
8315	Breisgau-Hochschwarzwald
8316	Emmendingen
8317	Ortenaukreis
8325	Rottweil
8326	Schwarzwald-Baar-Kreis
8327	Tuttlingen
8335	Konstanz
8336	Lörrach
8337	Waldshut
8415	Reutlingen
8416	Tübingen
8417	Zollernalbkreis
8421	Ulm, Stadt
8425	Alb-Donau-Kreis
8426	Biberach
8435	Bodenseekreis
8436	Ravensburg
8437	Sigmaringen
9161	Ingolstadt, Stadt
9162	München, Stadt
9163	Rosenheim, Stadt
9171	Altötting
9172	Berchtesgadener Land
9173	Bad Tölz-Wolfratshausen
9174	Dachau
9175	Ebersberg
9176	Eichstätt
9177	Erding
9178	Freising
9179	Fürstenfeldbruck
9180	Garmisch-Partenkirchen
9181	Landsberg am Lech
9182	Miesbach
9183	Mühldorf a.Inn
9184	München
9185	Neuburg-Schrobenhausen
9186	Pfaffenhofen a.d.Ilm
9187	Rosenheim
9188	Starnberg
9189	Traunstein
9190	Weilheim-Schongau
9261	Landshut, Stadt
9262	Passau, Stadt
9263	Straubing, Stadt
9271	Deggendorf
9272	Freyung-Grafenau
9273	Kelheim
9274	Landshut
9275	Passau
9276	Regen
9277	Rottal-Inn
9278	Straubing-Bogen
9279	Dingolfing-Landau
9361	Amberg, Stadt
9362	Regensburg, Stadt
9363	Weiden i.d.OPf., Stadt
9371	Amberg-Sulzbach
9372	Cham
9373	Neumarkt i.d.OPf.
9374	Neustadt a.d.Waldnaab
9375	Regensburg
9376	Schwandorf
9377	Tirschenreuth
9461	Bamberg, Stadt
9462	Bayreuth, Stadt
9463	Coburg, Stadt
9464	Hof, Stadt
9471	Bamberg
9472	Bayreuth
9473	Coburg
9474	Forchheim
9475	Hof
9476	Kronach
9477	Kulmbach
9478	Lichtenfels
9479	Wunsiedel i.Fichtelgebirge
9561	Ansbach, Stadt
9562	Erlangen, Stadt
9563	Fürth, Stadt
9564	Nürnberg, Stadt
9565	Schwabach, Stadt
9571	Ansbach
9572	Erlangen-Höchstadt
9573	Fürth
9574	Nürnberger Land
9575	Neustadt a.d.Aisch-Bad Windsheim
9576	Roth
9577	Weißenburg-Gunzenhausen
9661	Aschaffenburg, Stadt
9662	Schweinfurt, Stadt
9663	Würzburg, Stadt
9671	Aschaffenburg
9672	Bad Kissingen
9673	Rhön-Grabfeld
9674	Haßberge
9675	Kitzingen
9676	Miltenberg
9677	Main-Spessart
9678	Schweinfurt
9679	Würzburg
9761	Augsburg, Stadt
9762	Kaufbeuren, Stadt
9763	Kempten (Allgäu), Stadt
9764	Memmingen, Stadt
9771	Aichach-Friedberg
9772	Augsburg
9773	Dillingen a.d.Donau
9774	Günzburg
9775	Neu-Ulm
9776	Lindau (Bodensee)
9777	Ostallgäu
9778	Unterallgäu
9779	Donau-Ries
9780	Oberallgäu
10041	Regionalverband Saarbrücken
10042	Merzig-Wadern
10043	Neunkirchen
10044	Saarlouis
10045	Saarpfalz-Kreis
10046	St. Wendel
11000	Berlin, Stadt
12051	Brandenburg an der Havel, Stadt
12052	Cottbus, Stadt
12053	Frankfurt (Oder), Stadt
12054	Potsdam, Stadt
12060	Barnim
12061	Dahme-Spreewald
12062	Elbe-Elster
12063	Havelland
12064	Märkisch-Oderland
12065	Oberhavel
12066	Oberspreewald-Lausitz
12067	Oder-Spree
12068	Ostprignitz-Ruppin
12069	Potsdam-Mittelmark
12070	Prignitz
12071	Spree-Neiße
12072	Teltow-Fläming
12073	Uckermark
13003	Rostock, Stadt
13004	Schwerin, Stadt
13071	Mecklenburgische Seenplatte
13072	Landkreis Rostock
13073	Vorpommern-Rügen
13074	Nordwestmecklenburg
13075	Vorpommern-Greifswald
13076	Ludwigslust-Parchim
14511	Chemnitz, Stadt
14521	Erzgebirgskreis
14522	Mittelsachsen
14523	Vogtlandkreis
14524	Zwickau
14612	Dresden, Stadt
14625	Bautzen
14626	Görlitz
14627	Meißen
14628	Sächsische Schweiz-Osterzgebirge
14713	Leipzig, Stadt
14729	Leipzig
14730	Nordsachsen
15001	Dessau-Roßlau, Stadt
15002	Halle (Saale), Stadt
15003	Magdeburg, Stadt
15081	Altmarkkreis Salzwedel
15082	Anhalt-Bitterfeld
15083	Börde
15084	Burgenlandkreis
15085	Harz
15086	Jerichower Land
15087	Mansfeld-Südharz
15088	Saalekreis
15089	Salzlandkreis
15090	Stendal
15091	Wittenberg
16051	Erfurt, Stadt
16052	Gera, Stadt
16053	Jena, Stadt
16054	Suhl, Stadt
16055	Weimar, Stadt
16056	Eisenach, Stadt
16061	Eichsfeld
16062	Nordhausen
16063	Wartburgkreis
16064	Unstrut-Hainich-Kreis
16065	Kyffhäuserkreis
16066	Schmalkalden-Meiningen
16067	Gotha
16068	Sömmerda
16069	Hildburghausen
16070	Ilm-Kreis
16071	Weimarer Land
16072	Sonneberg
16073	Saalfeld-Rudolstadt
16074	Saale-Holzland-Kreis
16075	Saale-Orla-Kreis
16076	Greiz
16077	Altenburger Land
